Ticker Name,Company Name,Stock price
MON,Monsanto Co.,109.8
MOS,Mosaic Co.,31.7
MPC,Marathon Petroleum Corp.,49.64
MRK,Merck & Co. Inc.,60.85
MRO,Marathon Oil Corp.,17.76
MS,Morgan Stanley,44.02
MSFT,Microsoft Corp.,65
MSFT,Microsoft Corp.,65
MSI,Motorola Solutions Inc.,81.5
MTB,M&T Bank Corp.,163.63
MTD,Mettler-Toledo International Inc.,421.22
MU,Micron Technology Inc.,23.45
MUR,Murphy Oil Corp.,31.1
MYL,Mylan N.V.,36.1
NAVI,Navient Corp.,15.29
NBL,Noble Energy Inc.,40.23
NDAQ,Nasdaq Inc.,68.83
NEE,NextEra Energy Inc.,118.88
NEM,Newmont Mining Corp.,34.3
NFLX,Netflix Inc.,138.6
NFX,Newfield Exploration Co.,42.16
NI,NiSource Inc.,22.22
NKE,Nike Inc. Cl B,53.65
NLSN,Nielsen Holdings PLC,40.71
NOC,Northrop Grumman Corp.,227
NOV,National Oilwell Varco Inc.,39.25
NRG,NRG Energy Inc.,16.48
NSC,Norfolk Southern Corp.,119.97
NTAP,NetApp Inc.,37.6
NTRS,Northern Trust Corp.,84.09
NUE,Nucor Corp.,60.71
NVDA,NVIDIA Corp.,109.39
NWL,Newell Brands Inc.,46.35
NWS,News Corp Cl B,12.55
NWSA,News Corp Cl A,12.22
O,Realty Income Corp.,59.81
OKE,ONEOK Inc.,54.93
OMC,Omnicom Group Inc.,87.03
ORCL,Oracle Corp.,40.02
ORLY,O'Reilly Automotive Inc.,263.04
OXY,Occidental Petroleum Corp.,68.55
PAYX,Paychex Inc.,61.45
PBCT,People's United Financial Inc.,19.28
PBI,Pitney Bowes Inc.,15.85
PCAR,Paccar Inc.,68.08
PCG,PG&E Corp.,60.76
PCLN,Priceline Group Inc.,"1,581.44"
PDCO,Patterson Cos. Inc.,41.77
PEG,Public Service Enterprise Group Inc.,43.52
PEP,PepsiCo Inc.,104
PFE,Pfizer Inc.,31.3
PFG,Principal Financial Group Inc.,59.29
PG,Procter & Gamble Co.,86.63
PGR,Progressive Corp.,38.04
PH,Parker Hannifin Corp.,149.1
PHM,PulteGroup Inc.,21.2
PKI,PerkinElmer Inc.,52.06
PLD,Prologis Inc.,50.94
PM,Philip Morris International Inc.,96.36
PNC,PNC Financial Services Group Inc.,121.22
PNR,Pentair PLC,60.83
PNW,Pinnacle West Capital Corp.,76.98
PPG,PPG Industries Inc.,101.85
PPL,PPL Corp.,34.66
PRGO,Perrigo Co. PLC,72.39
PRU,Prudential Financial Inc.,107.34
PSA,Public Storage,218.25
PSX,Phillips 66,84.24
PVH,PVH Corp.,93.3
PWR,Quanta Services Inc.,37.45
PX,Praxair Inc.,119.5
PXD,Pioneer Natural Resources Co.,182.23
PYPL,PayPal Holdings Inc.,40.74
QCOM,Qualcomm Inc.,54.05
QRVO,Qorvo Inc.,63.34
R,Ryder System Inc.,77.33
RAI,Reynolds American Inc.,60.17
RCL,Royal Caribbean Cruises Ltd.,95.6
REGN,Regeneron Pharmaceuticals Inc.,341
RF,Regions Financial Corp.,14.7
RHI,Robert Half International Inc.,47.5
RHT,Red Hat Inc.,75.17
RIG,Transocean Ltd.,15.15
RL,Ralph Lauren Corp. Cl A,89.9
ROK,Rockwell Automation Corp.,152.92
